3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  09:00,136010.00,0.00,290600.00,735170.00,38730.00,151010.00,0.00,131110.00,1500.00,319060.00,86190.00,58500.00,20050.00
Aug 11 24  09:01,133610.00,0.00,290040.00,738450.00,38500.00,147170.00,0.00,131180.00,1500.00,332880.00,84570.00,58500.00,20050.00
Aug 11 24  09:02,136700.00,0.00,294310.00,731220.00,38360.00,149740.00,0.00,131180.00,1500.00,320540.00,84490.00,58410.00,20220.00
Aug 11 24  09:03,118150.00,0.00,292550.00,731050.00,38930.00,152190.00,0.00,130470.00,1500.00,322250.00,84630.00,58410.00,20220.00
Aug 11 24  09:04,122670.00,0.00,291230.00,736340.00,39320.00,152460.00,0.00,130470.00,1490.00,328470.00,84510.00,58340.00,20220.00
Aug 11 24  09:05,131900.00,0.00,291830.00,739300.00,38990.00,152500.00,0.00,130470.00,1490.00,330940.00,85030.00,58340.00,19330.00
Aug 11 24  09:06,120520.00,0.00,290410.00,735390.00,40140.00,152550.00,0.00,130140.00,1490.00,332570.00,84290.00,58340.00,19330.00
Aug 11 24  09:07,127340.00,0.00,291290.00,737120.00,40000.00,153700.00,0.00,130140.00,1490.00,335550.00,84290.00,58130.00,18620.00
Aug 11 24  09:08,135770.00,0.00,291100.00,739880.00,41590.00,151620.00,0.00,129730.00,1490.00,346980.00,84410.00,58130.00,18620.00
Aug 11 24  09:09,136600.00,0.00,288560.00,725110.00,42200.00,149460.00,0.00,129730.00,1490.00,334090.00,84350.00,58340.00,18320.00
Aug 11 24  09:10,116850.00,0.00,286430.00,722340.00,42130.00,146830.00,0.00,131090.00,1490.00,331990.00,84440.00,58340.00,18320.00
Aug 11 24  09:11,121480.00,0.00,291660.00,733780.00,40550.00,151370.00,0.00,131090.00,1490.00,335370.00,84310.00,58920.00,18320.00
Aug 11 24  09:12,133360.00,0.00,291060.00,733530.00,40850.00,152840.00,0.00,131090.00,1490.00,347180.00,84520.00,58920.00,18630.00
Aug 11 24  09:13,125810.00,0.00,290900.00,730440.00,38730.00,154080.00,0.00,131740.00,1790.00,345310.00,84640.00,58920.00,18630.00
Aug 11 24  09:14,132800.00,0.00,291930.00,706060.00,38640.00,152600.00,0.00,131740.00,1790.00,344170.00,84420.00,58410.00,18420.00
Aug 11 24  09:15,135140.00,0.00,291180.00,719630.00,39390.00,153080.00,0.00,134190.00,1800.00,340980.00,84580.00,58410.00,18420.00
Aug 11 24  09:16,132490.00,0.00,291820.00,711150.00,40540.00,153030.00,0.00,134190.00,1800.00,340580.00,86620.00,58880.00,18430.00
Aug 11 24  09:17,128430.00,0.00,291660.00,710230.00,39990.00,151280.00,0.00,135420.00,1800.00,348080.00,84110.00,58880.00,18430.00
Aug 11 24  09:18,134100.00,0.00,290520.00,709940.00,40690.00,149260.00,0.00,135420.00,1800.00,351530.00,84250.00,62350.00,18430.00
Aug 11 24  09:19,124420.00,0.00,294290.00,706940.00,39880.00,151360.00,0.00,135420.00,1800.00,354090.00,84290.00,62350.00,18410.00
Aug 11 24  09:20,124020.00,0.00,291430.00,715850.00,39760.00,151590.00,0.00,137540.00,1800.00,350020.00,84230.00,62350.00,18410.00
Aug 11 24  09:21,125020.00,0.00,292140.00,761050.00,40810.00,152980.00,0.00,137540.00,1800.00,358200.00,84360.00,59130.00,18990.00
Aug 11 24  09:22,135300.00,0.00,293510.00,747780.00,39950.00,154880.00,0.00,140430.00,1800.00,359230.00,84310.00,59130.00,18990.00
Aug 11 24  09:23,125160.00,0.00,291340.00,738890.00,38710.00,153570.00,0.00,140430.00,1780.00,356340.00,84380.00,59040.00,18990.00
Aug 11 24  09:24,124210.00,0.00,290310.00,732240.00,39620.00,152920.00,0.00,142740.00,1780.00,364880.00,84560.00,59040.00,18770.00
Aug 11 24  09:25,134390.00,0.00,288920.00,726200.00,36570.00,149790.00,0.00,142740.00,1780.00,370810.00,84200.00,59400.00,18770.00
Aug 11 24  09:26,124710.00,0.00,290350.00,730570.00,36430.00,149390.00,0.00,142740.00,1780.00,378590.00,80460.00,59400.00,19520.00
Aug 11 24  09:27,123290.00,0.00,292500.00,736410.00,37360.00,151090.00,0.00,145880.00,1490.00,375840.00,84270.00,59400.00,19520.00
Aug 11 24  09:28,132760.00,0.00,290550.00,732510.00,37900.00,151200.00,0.00,145880.00,1490.00,364670.00,84370.00,59470.00,20410.00
Aug 11 24  09:29,141070.00,0.00,289670.00,742540.00,38880.00,152700.00,0.00,147060.00,1490.00,381280.00,84180.00,59470.00,20410.00
Aug 11 24  09:30,124360.00,0.00,289260.00,728100.00,39420.00,152720.00,0.00,147060.00,1490.00,375700.00,84430.00,63810.00,20410.00
Aug 11 24  09:31,132810.00,0.00,289610.00,731560.00,38130.00,154500.00,0.00,147060.00,1490.00,387060.00,84170.00,63810.00,21380.00
Aug 11 24  09:32,136940.00,0.00,289130.00,732370.00,37400.00,152170.00,0.00,146240.00,1480.00,380320.00,84250.00,63810.00,21380.00
Aug 11 24  09:33,127780.00,0.00,287490.00,728120.00,37390.00,150060.00,0.00,146240.00,1480.00,386740.00,84340.00,60150.00,21860.00
Aug 11 24  09:34,137700.00,0.00,284960.00,723380.00,37410.00,146600.00,0.00,145840.00,1480.00,374910.00,84660.00,60150.00,21860.00
Aug 11 24  09:35,127480.00,0.00,289030.00,730050.00,37210.00,149610.00,0.00,145840.00,1480.00,384110.00,84520.00,59700.00,21860.00
Aug 11 24  09:36,124050.00,0.00,290320.00,737060.00,36690.00,151280.00,0.00,145770.00,1480.00,379150.00,84670.00,59700.00,22160.00
Aug 11 24  09:37,132420.00,0.00,289740.00,733140.00,38830.00,152850.00,0.00,145770.00,1500.00,376510.00,84980.00,59330.00,22160.00
Aug 11 24  09:38,142150.00,0.00,290520.00,736430.00,37280.00,153660.00,0.00,145770.00,1500.00,383110.00,84750.00,59330.00,23130.00
Aug 11 24  09:39,123870.00,0.00,289150.00,734320.00,37270.00,153690.00,0.00,146330.00,1480.00,387020.00,84570.00,59330.00,23130.00
Aug 11 24  09:40,122450.00,0.00,289130.00,732230.00,36020.00,152080.00,0.00,146330.00,1480.00,383580.00,84510.00,59720.00,23870.00
Aug 11 24  09:41,123570.00,0.00,290380.00,731470.00,35650.00,152710.00,0.00,145070.00,1480.00,357580.00,84420.00,59720.00,23870.00
Aug 11 24  09:42,138430.00,0.00,289680.00,731340.00,36020.00,151530.00,0.00,145070.00,1820.00,366550.00,84530.00,59300.00,23870.00
Aug 11 24  09:43,124110.00,0.00,289020.00,740540.00,36020.00,151090.00,0.00,145070.00,1820.00,367150.00,86810.00,59300.00,24130.00
Aug 11 24  09:44,127240.00,0.00,287650.00,725150.00,35530.00,148560.00,0.00,141990.00,1800.00,347100.00,85220.00,59300.00,24130.00
Aug 11 24  09:45,129590.00,0.00,291980.00,732970.00,38310.00,150450.00,0.00,141990.00,1800.00,339850.00,84950.00,59130.00,24160.00
Aug 11 24  09:46,140260.00,0.00,291730.00,731300.00,37290.00,152350.00,0.00,137540.00,1800.00,324820.00,84940.00,59130.00,24160.00
Aug 11 24  09:47,142580.00,0.00,290100.00,730110.00,38470.00,153470.00,0.00,137540.00,1790.00,321390.00,84610.00,59210.00,24160.00
Aug 11 24  09:48,139310.00,0.00,290040.00,730260.00,38900.00,152820.00,0.00,133250.00,1790.00,330680.00,84560.00,59210.00,23560.00
Aug 11 24  09:49,125790.00,0.00,289500.00,735090.00,38750.00,152640.00,0.00,133250.00,1800.00,325990.00,84460.00,59210.00,23560.00
Aug 11 24  09:50,127120.00,0.00,288560.00,742110.00,38760.00,153830.00,0.00,133250.00,1800.00,329340.00,84440.00,58830.00,23130.00
